Contact	Overhead
25600	417.1047120418848
51200	571.7438596491228
4100	125.5
29700	465.92039800995025
55300	589.5503355704698
8200	185.3050847457627
33800	493.741935483871
12300	240.2945205479452
37900	509.96610169491527
16400	304.8875
42000	521.32421875
20500	350.97206703910615
46100	551.8984962406015
24600	407.5882352941176
50200	568.5943060498221
3100	96.55737704918033
28700	451.25
54300	587.3605442176871
7200	171.1727272727273
32800	485.10747663551405
58400	582.1692789968652
11300	230.59420289855072
36900	500.56410256410254
15400	290.140127388535
41000	520.888
19500	345.5639534883721
45100	543.3181818181819
23600	394.23243243243246
49200	567.4963768115942
2100	95.63157894736842
27700	437.80808080808083
53300	582.5085910652921
6200	151.90196078431373
31800	483.36538461538464
57400	584.5673076923077
10300	222.6201550387597
35900	506.2711111111111
14400	278.25657894736844
40000	520.483606557377
18500	329.4470588235294
44100	533.3802281368821
22600	382.3791208791209
48200	565.3897058823529
1100	83.17647058823529
26700	429.2061855670103
52300	575.2629757785467
5200	142.13636363636363
30800	478.9950738916256
56400	587.5803278688525
9300	200.36220472440945
34900	503.0181818181818
13400	263.3378378378378
39000	514.3651452282157
17500	314.68263473053895
43100	531.0581395348837
21600	368.51666666666665
47200	557.3518518518518
100	0.0
25700	418.5916230366492
51300	572.8701754385964
4200	130.04166666666666
29800	467.6268656716418
55400	588.551839464883
8300	188.16101694915255
33900	495.4516129032258
12400	242.52739726027397
38000	511.24152542372883
16500	305.11801242236027
42100	522.4921875
20600	352.731843575419
46200	553.0751879699249
24700	409.3155080213904
50300	567.5460992907801
3200	94.81538461538462
28800	452.765
54400	588.4115646258504
7300	173.53636363636363
32900	482.35185185185185
58500	581.453125
11400	233.03623188405797
37000	502.0726495726496
15500	292.4076433121019
41100	520.1314741035857
19600	347.27906976744185
45200	544.3825757575758
23700	396.1297297297297
49300	568.5398550724638
2200	98.84615384615384
27800	439.6868686868687
53400	581.9075342465753
6300	153.32038834951456
31900	484.8605769230769
57500	583.6325878594249
10400	221.16030534351145
36000	507.50666666666666
14500	280.14473684210526
40100	519.8775510204082
18600	331.4294117647059
44200	532.7159090909091
22700	384.24725274725273
48300	566.3676470588235
1200	94.05882352941177
26800	428.7230769230769
52400	576.3252595155709
5300	142.24444444444444
30900	478.27941176470586
