Contact	DeliveryPercentage
25600	30.031446540880502
51200	22.547468354430382
4100	72.0
29700	27.235772357723576
55300	21.831501831501832
8200	58.70646766169154
33800	25.894988066825775
12300	48.18481848184818
37900	25.15991471215352
16400	39.70223325062035
42000	24.66281310211946
20500	35.0293542074364
46100	23.31288343558282
24600	30.555555555555557
50200	22.661290322580648
3100	81.33333333333333
28700	28.050490883590463
54300	21.92393736017897
7200	62.857142857142854
32800	26.289926289926292
58400	22.122052704576976
11300	49.46236559139785
36900	25.657894736842106
15400	41.644562334217504
41000	24.65483234714004
19500	35.4639175257732
45100	23.67713004484305
23600	31.40916808149406
49200	22.697368421052634
2100	77.55102040816327
27700	28.77906976744186
53300	22.146118721461185
6200	68.0
31800	26.362484157160964
57400	22.018348623853214
10300	50.78740157480315
35900	25.33783783783784
14400	42.93785310734463
40000	24.646464646464647
18500	37.199124726477024
44100	24.106324472960587
22600	32.326820603907635
48200	22.780569514237854
1100	62.96296296296296
26700	29.305135951661633
52300	22.420480993017843
5200	69.84126984126983
30800	26.535947712418302
56400	21.910919540229884
9300	55.45851528384279
34900	25.492468134414832
13400	44.984802431610944
39000	24.922440537745604
17500	38.74709976798144
43100	24.202626641651033
21600	33.33333333333333
47200	23.09666381522669
100	0.0
25700	29.93730407523511
51300	22.494080505130228
4200	69.90291262135922
29800	27.125506072874494
55400	21.8727139722019
8300	57.84313725490197
33900	25.802615933412604
12400	47.868852459016395
38000	25.106382978723403
16500	39.6551724137931
42100	24.615384615384617
20600	34.89278752436647
46200	23.27209098862642
24700	30.456026058631924
50300	22.705314009661837
3200	83.33333333333334
28800	27.932960893854748
54400	21.891288160833955
7300	61.79775280898876
32900	26.47058823529412
58500	22.145328719723185
11400	48.93617021276596
37000	25.601750547045953
15500	41.31578947368421
41100	24.70472440944882
19600	35.318275154004105
45200	23.634735899731425
23700	31.302876480541453
49300	22.641509433962266
2200	75.0
27800	28.65412445730825
53400	22.17160212604404
6300	67.76315789473685
31900	26.295828065739567
57500	22.04225352112676
10400	51.171875
36000	25.252525252525253
14500	42.69662921348314
40100	24.697580645161292
18600	36.95652173913043
44200	24.131627056672762
22700	32.21238938053098
48300	22.74247491638796
1200	58.620689655172406
26800	29.32330827067669
52400	22.4031007751938
5300	69.76744186046511
30900	26.5625
56500	21.863799283154123
9400	54.741379310344826
35000	25.43352601156069
13500	44.87951807228915
39100	24.84536082474227
17600	38.56812933025404
43200	24.22825070159027
21700	33.39483394833948
47300	23.14261315115286
200	0.0
25800	29.95319812792512
51400	22.440944881889763
4300	68.86792452830188
29900	27.18707940780619
55500	21.824817518248175
8400	58.252427184466015
34000	25.741399762752078
12500	47.4025974025974
38100	25.026511134676564
16600	39.36430317848411
42200	24.64046021093001
20700	34.689922480620154
46300	23.211169284467715
24800	30.30794165316045
50400	22.7491961414791
3300	83.75
28900	27.85515320334262
54500	21.842496285289748
7400	61.66666666666667
33000	26.373626373626376
58600	22.099447513812155
11500	48.771929824561404
37100	25.54585152838428
15600	41.14583333333333
41200	24.656188605108053
19700	35.787321063394685
45300	23.57142857142857
23800	31.313131313131315
49400	22.585924713584287
2300	72.72727272727273
27900	28.674351585014406
53500	22.12121212121212
6400	66.45161290322581
32000	26.322418136020154
57600	22.0112517580872
10500	51.162790697674424
36100	25.195968645016798
14600	42.33983286908078
40200	24.623115577889447
18700	36.7170626349892
44300	24.087591240875913
22800	32.04225352112676
48400	22.78797996661102
1300	64.51612903225806
26900	29.235382308845576
52500	22.36842105263158
5400	70.0
31000	26.623376623376622
56600	21.832498210450964
9500	54.46808510638298
35100	25.34562211981567
13600	44.61077844311377
39200	24.922760041194643
17700	38.39080459770115
43300	24.369747899159663
21800	33.211009174311926
47400	23.083475298126068
300	0.0
25900	30.015552099533437
51500	22.40566037735849
4400	69.1588785046729
30000	27.114093959731544
55600	21.93877551020408
8500	58.85167464114832
34100	25.65011820330969
12600	47.266881028938904
38200	25.052854122621564
16700	39.90267639902677
42300	24.5697896749522
20800	34.68208092485549
46400	23.170731707317074
24900	30.210016155088855
50500	22.792937399678973
3400	80.72289156626506
29000	27.739251040221912
54600	21.884272997032642
7500	60.65573770491803
33100	26.431181485992695
58700	22.06896551724138
11600	48.43205574912892
37200	25.462459194776933
15700	40.932642487046635
41300	24.6078431372549
19800	35.77235772357724
45400	23.618538324420676
23900	31.20805369127517
49500	22.54901960784314
2400	75.43859649122807
28000	28.59195402298851
53600	22.071050642479214
6500	65.60509554140127
32100	26.223337515683813
57700	21.980337078651687
10600	50.95785440613027
36200	25.363128491620113
14700	42.10526315789473
40300	24.57372116349047
18800	36.55913978494624
44400	24.043715846994534
22900	32.04903677758319
48500	22.75
1400	63.63636363636363
27000	29.297458893871447
52600	22.393822393822393
5500	69.92481203007519
31100	26.64941785252264
56700	21.80128663330951
9600	54.008438818565395
35200	25.37313432835821
13700	44.345238095238095
39300	24.948665297741275
17800	38.12785388127854
43400	24.30167597765363
21900	33.02919708029197
47500	23.12925170068027
400	10.0
26000	29.876160990712076
51600	22.35294117647059
4500	70.9090909090909
30100	27.00534759358289
55700	22.05240174672489
8600	58.01886792452831
34200	25.589622641509436
12700	47.284345047923324
38300	24.973656480505795
16800	39.61352657004831
42400	24.52290076335878
20900	34.48275862068966
46500	23.11033883579496
25000	30.595813204508858
50600	22.756410256410255
3500	78.82352941176471
29100	27.800829875518673
54700	21.925925925925927
7600	61.62162162162163
33200	26.33495145631068
58800	22.107438016528928
11700	48.275862068965516
37300	25.379609544468547
15800	40.72164948453608
41400	24.55968688845401
19900	35.82995951417004
45500	23.555555555555554
24000	31.270903010033447
49600	22.67536704730832
2500	83.05084745762711
28100	28.510028653295127
53700	22.09653092006033
6600	65.0
32200	26.125
57800	21.949509116409537
10700	50.57034220532319
36300	25.612472160356347
14800	42.14876033057851
40400	24.5
18900	36.324786324786324
44500	24.0
23000	32.11169284467714
48600	22.795341098169715
1500	66.66666666666666
27100	29.166666666666668
52700	22.342064714946073
5600	68.38235294117648
31200	26.70967741935484
56800	21.754636233951498
9700	53.55648535564853
35300	25.286041189931353
13800	44.37869822485207
39400	24.897540983606557
17900	37.868480725623584
43500	24.25650557620818
22000	33.09090909090909
47600	23.070398642917727
500	16.666666666666664
26100	29.78395061728395
51700	22.31793265465936
4600	69.64285714285714
30200	26.897470039946736
55800	22.0203488372093
8700	57.476635514018696
34300	25.647058823529413
12800	46.98412698412698
38400	24.89495798319328
16900	39.568345323741006
42500	24.45290199809705
21000	34.35114503816794
46600	23.050259965337954
25100	30.497592295345104
50700	22.720000000000002
3600	77.27272727272727
29200	27.72413793103448
54800	21.967455621301777
7700	60.63829787234043
33300	26.27118644067797
58900	22.130584192439862
11800	48.28767123287671
37400	25.2972972972973
15900	40.66496163682864
41500	24.48780487804878
20000	35.61368209255533
45600	23.49290780141844
24100	31.166666666666664
49700	22.701383238405207
2600	80.95238095238095
28200	28.38801711840228
53800	22.04665161775771
6700	65.2439024390244
32300	26.059850374064837
57900	22.043386983904828
10800	50.37593984962406
36400	25.77777777777778
14900	42.465753424657535
40500	24.451097804391217
19000	36.09341825902335
44600	23.95644283121597
23100	32.11805555555556
48700	22.904564315352697
1600	63.1578947368421
27200	29.080118694362017
52800	22.367409684857805
5700	68.84057971014492
31300	26.640926640926644
