Contact	DeliveryPercentage	OverheadRatio	AvgLatency	TotalForwards
100	0.0	0.0	0.0	1.6666666666666667
200	0.0	0.0	0.0	5.4
300	0.0	0.0	0.0	11.0
400	10.0	203.0	230.69999999999715	17.5
500	16.666666666666664	164.0	221.3500000000048	24.333333333333332
600	26.666666666666668	126.0	280.15000000001487	29.0
700	27.77777777777778	146.8	291.74000000002127	35.111111111111114
800	40.0	119.75	269.5875000000355	40.7
900	45.45454545454545	120.7	291.0300000000445	46.63636363636363
1000	68.0	84.41176470588235	311.9823529412397	48.56
1100	62.96296296296296	99.82352941176471	311.9823529412397	53.0
1200	58.620689655172406	113.11764705882354	311.9823529412397	55.724137931034484
1300	64.51612903225806	109.75	302.89500000007354	59.645161290322584
1400	63.63636363636363	116.66666666666667	294.44761904769604	62.36363636363637
1500	66.66666666666666	112.125	303.70833333341943	62.52777777777778
1600	63.1578947368421	125.33333333333333	303.70833333341943	66.44736842105263
1700	72.5	113.44827586206897	317.3620689655941	69.075
1800	71.42857142857143	118.73333333333333	314.65666666674076	71.19047619047619
1900	75.55555555555556	113.20588235294117	308.86176470593455	71.64444444444445
2000	76.59574468085107	115.0	329.2972222222619	73.95744680851064
2100	77.55102040816327	115.10526315789474	331.30263157897184	74.93877551020408
2200	75.0	118.84615384615384	327.64358974360516	74.88461538461539
2300	72.72727272727273	122.15	324.60000000000565	74.61818181818182
2400	75.43859649122807	119.51162790697674	315.9139534883461	75.52631578947368
2500	83.05084745762711	110.83673469387755	338.92857142848516	77.0677966101695
2600	80.95238095238095	112.07843137254902	340.17843137244313	75.92063492063492
2700	81.53846153846153	112.94339622641509	344.4849056602503	76.8
2800	80.59701492537313	115.61111111111111	345.6777777776398	77.50746268656717
2900	79.71014492753623	118.69090909090909	345.53454545439604	78.59420289855072
3000	81.94444444444444	115.91525423728814	358.19999999980405	78.90277777777777
3100	81.33333333333333	117.44262295081967	354.6983606555182	79.34666666666666
3200	83.33333333333334	115.26153846153846	361.0307692305022	79.84615384615384
3300	83.75	116.56716417910448	363.85223880567906	81.1375
3400	80.72289156626506	121.85074626865672	363.85223880567906	81.60240963855422
3500	78.82352941176471	126.80597014925372	363.85223880567906	82.82352941176471
3600	77.27272727272727	130.26470588235293	366.15294117616537	83.3409090909091
3700	76.66666666666667	134.95652173913044	363.8391304344627	85.74444444444444
3800	76.08695652173914	138.1	362.049999999665	87.01086956521739
3900	74.73684210526315	142.57746478873239	362.3098591545788	88.29473684210527
4000	72.44897959183673	148.56338028169014	362.3098591545788	89.12244897959184
4100	72.0	152.80555555555554	360.874999999632	91.08
4200	69.90291262135922	158.40277777777777	360.874999999632	91.60194174757281
4300	68.86792452830188	162.97260273972603	364.04383561605107	92.91509433962264
4400	69.1588785046729	165.59459459459458	369.93243243202596	94.71028037383178
4500	70.9090909090909	162.35897435897436	399.1538461533649	95.16363636363636
4600	69.64285714285714	167.52564102564102	399.1538461533649	96.375
4700	70.43478260869566	166.11111111111111	402.86790123403057	96.57391304347826
4800	70.08547008547008	168.8780487804878	403.67317073115083	97.54700854700855
4900	68.33333333333333	173.5731707317073	403.67317073115083	97.66666666666667
5000	69.67213114754098	171.85882352941175	404.22588235232706	98.52459016393442
5100	69.35483870967742	173.9418604651163	410.21162790634327	99.2258064516129
5200	69.84126984126983	174.29545454545453	409.37613636296487	99.96825396825396
5300	69.76744186046511	174.4777777777778	411.86333333262365	99.93798449612403
5400	70.0	176.01098901098902	420.960439559711	101.06923076923077
