Contacts	TotalForwards
53500	170546
53600	170882
53700	171205
53800	171595
53900	171882
54000	172174
54100	172489
54200	172712
54300	172978
54400	173287
54500	173583
54600	173842
54700	174123
54800	174384
54900	174692
55000	175042
55100	175418
55200	175714
55300	175984
55400	176276
55500	176603
55600	176941
55700	177249
55800	177559
55900	177874
56000	178225
56100	178504
56200	178862
56300	179213
56400	179517
56500	179808
56600	180122
56700	180467
56800	180725
56900	181018
57000	181376
57100	181700
57200	181999
57300	182359
57400	182697
57500	182990
57600	183283
57700	183568
57800	183957
57900	184328
58000	184752
58100	185093
58200	185405
58300	185697
58400	186031
58500	186385
58600	186675
58700	186988
58800	187318
58900	187688
59000	187983

